input_file,base_file,temp,shifts,time_step
job001.pqi,Beerling_Clean_V3.pqi,5,100,1578249.044
job002.pqi,Beerling_Clean_V3.pqi,5,150,1052166.029
job003.pqi,Beerling_Clean_V3.pqi,5,200,789124.522
job004.pqi,Beerling_Clean_V3.pqi,5,250,631299.618
job005.pqi,Beerling_Clean_V3.pqi,5,300,526083.015
job006.pqi,Beerling_Clean_V3.pqi,5,350,450928.298
job007.pqi,Beerling_Clean_V3.pqi,5,400,394562.261
job008.pqi,Beerling_Clean_V3.pqi,5,450,350722.010
job009.pqi,Beerling_Clean_V3.pqi,5,500,315649.809
job010.pqi,Beerling_Clean_V3.pqi,10,100,1578249.044
job011.pqi,Beerling_Clean_V3.pqi,10,150,1052166.029
job012.pqi,Beerling_Clean_V3.pqi,10,200,789124.522
job013.pqi,Beerling_Clean_V3.pqi,10,250,631299.618
job014.pqi,Beerling_Clean_V3.pqi,10,300,526083.015
job015.pqi,Beerling_Clean_V3.pqi,10,350,450928.298
job016.pqi,Beerling_Clean_V3.pqi,10,400,394562.261
job017.pqi,Beerling_Clean_V3.pqi,10,450,350722.010
job018.pqi,Beerling_Clean_V3.pqi,10,500,315649.809
job019.pqi,Beerling_Clean_V3.pqi,15,100,1578249.044
job020.pqi,Beerling_Clean_V3.pqi,15,150,1052166.029
job021.pqi,Beerling_Clean_V3.pqi,15,200,789124.522
job022.pqi,Beerling_Clean_V3.pqi,15,250,631299.618
job023.pqi,Beerling_Clean_V3.pqi,15,300,526083.015
job024.pqi,Beerling_Clean_V3.pqi,15,350,450928.298
job025.pqi,Beerling_Clean_V3.pqi,15,400,394562.261
job026.pqi,Beerling_Clean_V3.pqi,15,450,350722.010
job027.pqi,Beerling_Clean_V3.pqi,15,500,315649.809
job028.pqi,Beerling_Clean_V3.pqi,20,100,1578249.044
job029.pqi,Beerling_Clean_V3.pqi,20,150,1052166.029
job030.pqi,Beerling_Clean_V3.pqi,20,200,789124.522
job031.pqi,Beerling_Clean_V3.pqi,20,250,631299.618
job032.pqi,Beerling_Clean_V3.pqi,20,300,526083.015
job033.pqi,Beerling_Clean_V3.pqi,20,350,450928.298
job034.pqi,Beerling_Clean_V3.pqi,20,400,394562.261
job035.pqi,Beerling_Clean_V3.pqi,20,450,350722.010
job036.pqi,Beerling_Clean_V3.pqi,20,500,315649.809
job037.pqi,Beerling_Clean_V3.pqi,25,100,1578249.044
job038.pqi,Beerling_Clean_V3.pqi,25,150,1052166.029
job039.pqi,Beerling_Clean_V3.pqi,25,200,789124.522
job040.pqi,Beerling_Clean_V3.pqi,25,250,631299.618
job041.pqi,Beerling_Clean_V3.pqi,25,300,526083.015
job042.pqi,Beerling_Clean_V3.pqi,25,350,450928.298
job043.pqi,Beerling_Clean_V3.pqi,25,400,394562.261
job044.pqi,Beerling_Clean_V3.pqi,25,450,350722.010
job045.pqi,Beerling_Clean_V3.pqi,25,500,315649.809
job046.pqi,Beerling_Clean_V3.pqi,30,100,1578249.044
job047.pqi,Beerling_Clean_V3.pqi,30,150,1052166.029
job048.pqi,Beerling_Clean_V3.pqi,30,200,789124.522
job049.pqi,Beerling_Clean_V3.pqi,30,250,631299.618
job050.pqi,Beerling_Clean_V3.pqi,30,300,526083.015
job051.pqi,Beerling_Clean_V3.pqi,30,350,450928.298
job052.pqi,Beerling_Clean_V3.pqi,30,400,394562.261
job053.pqi,Beerling_Clean_V3.pqi,30,450,350722.010
job054.pqi,Beerling_Clean_V3.pqi,30,500,315649.809
job055.pqi,Beerling_Clean_V3.pqi,35,100,1578249.044
job056.pqi,Beerling_Clean_V3.pqi,35,150,1052166.029
job057.pqi,Beerling_Clean_V3.pqi,35,200,789124.522
job058.pqi,Beerling_Clean_V3.pqi,35,250,631299.618
job059.pqi,Beerling_Clean_V3.pqi,35,300,526083.015
job060.pqi,Beerling_Clean_V3.pqi,35,350,450928.298
job061.pqi,Beerling_Clean_V3.pqi,35,400,394562.261
job062.pqi,Beerling_Clean_V3.pqi,35,450,350722.010
job063.pqi,Beerling_Clean_V3.pqi,35,500,315649.809
job064.pqi,Beerling_Clean_V3_SOLUTION_0.pqi,5,100,1578249.044
job065.pqi,Beerling_Clean_V3_SOLUTION_0.pqi,5,150,1052166.029
job066.pqi,Beerling_Clean_V3_SOLUTION_0.pqi,5,200,789124.522
job067.pqi,Beerling_Clean_V3_SOLUTION_0.pqi,5,250,631299.618
job068.pqi,Beerling_Clean_V3_SOLUTION_0.pqi,5,300,526083.015
job069.pqi,Beerling_Clean_V3_SOLUTION_0.pqi,5,350,450928.298
job070.pqi,Beerling_Clean_V3_SOLUTION_0.pqi,5,400,394562.261
job071.pqi,Beerling_Clean_V3_SOLUTION_0.pqi,5,450,350722.010
job072.pqi,Beerling_Clean_V3_SOLUTION_0.pqi,5,500,315649.809
job073.pqi,Beerling_Clean_V3_SOLUTION_0.pqi,10,100,1578249.044
job074.pqi,Beerling_Clean_V3_SOLUTION_0.pqi,10,150,1052166.029
job075.pqi,Beerling_Clean_V3_SOLUTION_0.pqi,10,200,789124.522
job076.pqi,Beerling_Clean_V3_SOLUTION_0.pqi,10,250,631299.618
job077.pqi,Beerling_Clean_V3_SOLUTION_0.pqi,10,300,526083.015
job078.pqi,Beerling_Clean_V3_SOLUTION_0.pqi,10,350,450928.298
job079.pqi,Beerling_Clean_V3_SOLUTION_0.pqi,10,400,394562.261
job080.pqi,Beerling_Clean_V3_SOLUTION_0.pqi,10,450,350722.010
job081.pqi,Beerling_Clean_V3_SOLUTION_0.pqi,10,500,315649.809
job082.pqi,Beerling_Clean_V3_SOLUTION_0.pqi,15,100,1578249.044
job083.pqi,Beerling_Clean_V3_SOLUTION_0.pqi,15,150,1052166.029
job084.pqi,Beerling_Clean_V3_SOLUTION_0.pqi,15,200,789124.522
job085.pqi,Beerling_Clean_V3_SOLUTION_0.pqi,15,250,631299.618
job086.pqi,Beerling_Clean_V3_SOLUTION_0.pqi,15,300,526083.015
job087.pqi,Beerling_Clean_V3_SOLUTION_0.pqi,15,350,450928.298
job088.pqi,Beerling_Clean_V3_SOLUTION_0.pqi,15,400,394562.261
job089.pqi,Beerling_Clean_V3_SOLUTION_0.pqi,15,450,350722.010
job090.pqi,Beerling_Clean_V3_SOLUTION_0.pqi,15,500,315649.809
job091.pqi,Beerling_Clean_V3_SOLUTION_0.pqi,20,100,1578249.044
job092.pqi,Beerling_Clean_V3_SOLUTION_0.pqi,20,150,1052166.029
job093.pqi,Beerling_Clean_V3_SOLUTION_0.pqi,20,200,789124.522
job094.pqi,Beerling_Clean_V3_SOLUTION_0.pqi,20,250,631299.618
job095.pqi,Beerling_Clean_V3_SOLUTION_0.pqi,20,300,526083.015
job096.pqi,Beerling_Clean_V3_SOLUTION_0.pqi,20,350,450928.298
job097.pqi,Beerling_Clean_V3_SOLUTION_0.pqi,20,400,394562.261
job098.pqi,Beerling_Clean_V3_SOLUTION_0.pqi,20,450,350722.010
job099.pqi,Beerling_Clean_V3_SOLUTION_0.pqi,20,500,315649.809
job100.pqi,Beerling_Clean_V3_SOLUTION_0.pqi,25,100,1578249.044
job101.pqi,Beerling_Clean_V3_SOLUTION_0.pqi,25,150,1052166.029
job102.pqi,Beerling_Clean_V3_SOLUTION_0.pqi,25,200,789124.522
job103.pqi,Beerling_Clean_V3_SOLUTION_0.pqi,25,250,631299.618
job104.pqi,Beerling_Clean_V3_SOLUTION_0.pqi,25,300,526083.015
job105.pqi,Beerling_Clean_V3_SOLUTION_0.pqi,25,350,450928.298
job106.pqi,Beerling_Clean_V3_SOLUTION_0.pqi,25,400,394562.261
job107.pqi,Beerling_Clean_V3_SOLUTION_0.pqi,25,450,350722.010
job108.pqi,Beerling_Clean_V3_SOLUTION_0.pqi,25,500,315649.809
job109.pqi,Beerling_Clean_V3_SOLUTION_0.pqi,30,100,1578249.044
job110.pqi,Beerling_Clean_V3_SOLUTION_0.pqi,30,150,1052166.029
job111.pqi,Beerling_Clean_V3_SOLUTION_0.pqi,30,200,789124.522
job112.pqi,Beerling_Clean_V3_SOLUTION_0.pqi,30,250,631299.618
job113.pqi,Beerling_Clean_V3_SOLUTION_0.pqi,30,300,526083.015
job114.pqi,Beerling_Clean_V3_SOLUTION_0.pqi,30,350,450928.298
job115.pqi,Beerling_Clean_V3_SOLUTION_0.pqi,30,400,394562.261
job116.pqi,Beerling_Clean_V3_SOLUTION_0.pqi,30,450,350722.010
job117.pqi,Beerling_Clean_V3_SOLUTION_0.pqi,30,500,315649.809
job118.pqi,Beerling_Clean_V3_SOLUTION_0.pqi,35,100,1578249.044
job119.pqi,Beerling_Clean_V3_SOLUTION_0.pqi,35,150,1052166.029
job120.pqi,Beerling_Clean_V3_SOLUTION_0.pqi,35,200,789124.522
job121.pqi,Beerling_Clean_V3_SOLUTION_0.pqi,35,250,631299.618
job122.pqi,Beerling_Clean_V3_SOLUTION_0.pqi,35,300,526083.015
job123.pqi,Beerling_Clean_V3_SOLUTION_0.pqi,35,350,450928.298
job124.pqi,Beerling_Clean_V3_SOLUTION_0.pqi,35,400,394562.261
job125.pqi,Beerling_Clean_V3_SOLUTION_0.pqi,35,450,350722.010
job126.pqi,Beerling_Clean_V3_SOLUTION_0.pqi,35,500,315649.809
